MO_ULR18_,MO_ULR18_I,CODIGO_VEN,COD_VEN,CLASE_U,DEST,DESTA,DESTAA,DESTAAA,FUENTE,PROFILE_ID,ID_REALA,ID_REALA_NUM,POINT_X,POINT_Y
310,310,938,938 VEN 1987 MO 20,III,Inceptisoles,Tropepts,Dystropepts,Ustoxic Dystropepts,INIA,938 VEN 1987 MO 20,938,124,-63.60856937310,9.59513681363
311,311,940,940 VEN 1987 MO 22,III,Inceptisoles,Tropepts,Dystropepts,Ustoxic Dystropepts,INIA,940 VEN 1987 MO 22,940,125,-63.59728110410,9.59965253924
314,314,965,965 VEN 1988 MO 23,IV,Inceptisoles,Tropepts,Dystropepts,Vertic Dystropepts,INIA,965 VEN 1988 MO 23,965,126,-63.53459851130,10.20857459470
315,315,966,966 VEN 1988 MO 24,VII,Entisoles,Orthents,Troporthents,Lithic Troporthents,INIA,966 VEN 1988 MO 24,966,127,-63.50972824220,10.15739581310
316,316,987,987 VEN 1989 MO 27,VI,Entisoles,Psamments,Ustipsamments,Typic Ustipsamments,INIA,987 VEN 1989 MO 27,987,128,-63.71931894750,9.41741127091
329,329,863,863 VEN 1986 PO 223,III,Ultisoles,Ustults,Haplustults,Typic Haplustults,INIA,863 VEN 1986 PO 223,863,129,-69.78800413500,8.79615840971
334,334,179,179 VEN 1962 PO 49,,Sin_informa,,,,INIA,179 VEN 1962 PO 49,179,130,-69.68658940640,8.77349718527
337,337,521,521 VEN 1967 PO 75,III,Ultisoles,Ustults,Haplustults,Typic Haplustults,INIA,521 VEN 1967 PO 75,521,131,-69.84230383500,8.98320225644
343,343,650,650 VEN 1973 PO 143,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,650 VEN 1973 PO 143,650,132,-69.71981041260,8.98837951151
344,344,186,186 VEN 1962 PO 55,,Sin_informa,,,,INIA,186 VEN 1962 PO 55,186,133,-69.72268553800,8.96192551991
346,346,641,641 VEN 1973 PO 134,I,Inceptisoles,Tropepts,Ustropepts,Aquic Ustropepts,INIA,641 VEN 1973 PO 134,641,134,-69.63527211510,8.95790096588
347,347,822,822 VEN 1986 PO 207,III,Inceptisoles,Aquepts,Tropaquepts,Aeric Tropaquepts,INIA,822 VEN 1986 PO 207,822,135,-69.66747758940,9.00103163153
348,348,513,513 VEN 1970 PO 108,VI,Alfisoles,Ustalfs,Haplustalfs,Typic Haplustalfs,INIA,513 VEN 1970 PO 108,513,136,-69.66345338550,9.10109613845
349,349,537,537 VEN 1967 PO 91,,Mollisoles,Ustolls,Haplustolls,Fluventic Haplustolls,INIA,537 VEN 1967 PO 91,537,137,-69.71693674980,9.12639924945
350,350,615,615 VEN 1970 PO 110,III,Entisoles,Aquents,Endoaquents,,INIA,615 VEN 1970 PO 110,615,138,-69.58294162210,9.13560223131
351,351,612,612 VEN 1970 PO 107,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,612 VEN 1970 PO 107,612,139,-69.54477734480,9.20224864991
352,352,616,616 VEN 1970 PO 111,III,Mollisoles,Ustolls,Haplustolls,Fluventic Haplustolls,INIA,616 VEN 1970 PO 111,616,140,-69.53212932740,9.21415292242
353,353,613,613 VEN 1970 PO 118,IV,Inceptisoles,Aquepts,Tropaquepts,Vertic Tropaquepts,INIA,613 VEN 1970 PO 118,613,141,-69.54180181520,9.23672055924
354,354,623,623 VEN 1970 PO 118,II,Entisoles,Orthents,Ustorthents,Typic Ustorthents,INIA,623 VEN 1970 PO 118,623,142,-69.52369748570,9.23895275064
355,355,639,639 VEN 1973 PO 132,II,Entisoles,Psamments,Udipsamments,Typic Udipsamments,INIA,639 VEN 1973 PO 132,639,143,-69.66560032150,8.91502045033
356,356,647,647 VEN 1973 PO 140,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,647 VEN 1973 PO 140,647,144,-69.66618170810,8.85855742535
357,357,182,182 VEN 1962 PO 51,IV,Alfisoles,Aqualfs,Endoaqualfs,Typic Endoaqualfs,INIA,182 VEN 1962 PO 51,182,145,-69.63229670350,8.85291897975
358,358,183,183 VEN 1962 PO 52,,Sin_informa,,,,INIA,183 VEN 1962 PO 52,183,146,-69.62897254720,8.85202072928
359,359,184,184 VEN 1962 PO 53,VI,Entisoles,Aquents,Endoaquents,Typic Endoaquents,INIA,184 VEN 1962 PO 53,184,147,-69.62726544070,8.84923596221
360,360,645,645 VEN 1973 PO 138,I,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,645 VEN 1973 PO 138,645,148,-69.62430061520,8.84555217216
361,361,642,642 VEN 1973 PO 135,I,Inceptisoles,Tropepts,Ustropepts,Aquic Ustropepts,INIA,642 VEN 1973 PO 135,642,149,-69.53216656910,8.84880808319
363,363,637,637 VEN 1973 PO 130,II,Entisoles,Psamments,Udipsamments,Typic Udipsamments,INIA,637 VEN 1973 PO 130,637,150,-69.56913710720,8.73420835899
364,364,638,638 VEN 1973 PO 131,III,Entisoles,Psamments,Udipsamments,Typic Udipsamments,INIA,638 VEN 1973 PO 131,638,151,-69.56846357440,8.73070621114
365,365,875,875 VEN 1987 PO 225,II,Entisoles,Psamments,Udipsamments,Typic Udipsamments,INIA,875 VEN 1987 PO 225,875,152,-69.56765535230,8.72774268616
367,367,185,185 VEN 1962 PO 54,III,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,185 VEN 1962 PO 54,185,153,-69.44332187250,8.79657872317
368,368,648,648 VEN 1973 PO 141,,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,648 VEN 1973 PO 141,648,154,-69.44412998500,8.78890038743
369,369,649,649 VEN 1973 PO 142,II,Inceptisoles,Tropepts,Ustropepts,Fluventic Ustropepts,INIA,649 VEN 1973 PO 142,649,155,-69.44143575030,8.78337746471
370,370,657,657 VEN 1972 PO 150,VI,Entisoles,Aquents,Endoaquents,Typic Endoaquents,INIA,657 VEN 1972 PO 150,657,156,-69.43685568530,8.78068370005
371,371,653,653 VEN 1973 PO 146,IV,Inceptisoles,Aquepts,Tropaquepts,Typic Tropaquepts,INIA,653 VEN 1973 PO 146,653,157,-69.38108785790,8.84035896015
372,372,536,536 VEN 1967 PO 90,,Mollisoles,Ustolls,Haplustolls,Fluventic Haplustolls,INIA,536 VEN 1967 PO 90,536,158,-69.23789560150,8.91404452955
373,373,856,856 VEN 1970 PO 219,VI,Entisoles,Aquents,Endoaquents,Typic Endoaquents,INIA,856 VEN 1970 PO 219,856,159,-69.18089344810,8.67718280295
